country_code,country,region
AFG,Afghanistan,Asia
ALA,Åland Islands,Europe
ALB,Albania,Europe
DZA,Algeria,Africa
ASM,American Samoa,Oceania
AND,Andorra,Europe
AGO,Angola,Africa
AIA,Anguilla,Americas
ATA,Antarctica,
ATG,Antigua and Barbuda,Americas
ARG,Argentina,Americas
ARM,Armenia,Asia
ABW,Aruba,Americas
AUS,Australia,Oceania
AUT,Austria,Europe
AZE,Azerbaijan,Asia
BHS,Bahamas,Americas
BHR,Bahrain,Asia
BGD,Bangladesh,Asia
BRB,Barbados,Americas
BLR,Belarus,Europe
BEL,Belgium,Europe
BLZ,Belize,Americas
BEN,Benin,Africa
BMU,Bermuda,Americas
BTN,Bhutan,Asia
BOL,Bolivia (Plurinational State of),Americas
BES,"Bonaire, Sint Eustatius and Saba",Americas
BIH,Bosnia and Herzegovina,Europe
BWA,Botswana,Africa
BVT,Bouvet Island,Americas
BRA,Brazil,Americas
IOT,British Indian Ocean Territory,Africa
BRN,Brunei Darussalam,Asia
BGR,Bulgaria,Europe
BFA,Burkina Faso,Africa
BDI,Burundi,Africa
CPV,Cabo Verde,Africa
KHM,Cambodia,Asia
CMR,Cameroon,Africa
CAN,Canada,Americas
CYM,Cayman Islands,Americas
CAF,Central African Republic,Africa
TCD,Chad,Africa
CHL,Chile,Americas
CHN,China,Asia
CXR,Christmas Island,Oceania
CCK,Cocos (Keeling) Islands,Oceania
COL,Colombia,Americas
COM,Comoros,Africa
COG,Congo,Africa
COD,"Congo, Democratic Republic of the",Africa
COK,Cook Islands,Oceania
CRI,Costa Rica,Americas
CIV,Ivory Coast,Africa
HRV,Croatia,Europe
CUB,Cuba,Americas
CUW,Curaçao,Americas
CYP,Cyprus,Asia
CZE,Czech Republic,Europe
DNK,Denmark,Europe
DJI,Djibouti,Africa
DMA,Dominica,Americas
DOM,Dominican Republic,Americas
ECU,Ecuador,Americas
EGY,Egypt,Africa
SLV,El Salvador,Americas
GNQ,Equatorial Guinea,Africa
ERI,Eritrea,Africa
EST,Estonia,Europe
SWZ,Eswatini,Africa
ETH,Ethiopia,Africa
FLK,Falkland Islands (Malvinas),Americas
FRO,Faroe Islands,Europe
FJI,Fiji,Oceania
FIN,Finland,Europe
FRA,France,Europe
GUF,French Guiana,Americas
PYF,French Polynesia,Oceania
ATF,French Southern Territories,Africa
GAB,Gabon,Africa
GMB,Gambia,Africa
GEO,Georgia,Asia
DEU,Germany,Europe
GHA,Ghana,Africa
GIB,Gibraltar,Europe
GRC,Greece,Europe
GRL,Greenland,Americas
GRD,Grenada,Americas
GLP,Guadeloupe,Americas
GUM,Guam,Oceania
GTM,Guatemala,Americas
GGY,Guernsey,Europe
GIN,Guinea,Africa
GNB,Guinea-Bissau,Africa
GUY,Guyana,Americas
HTI,Haiti,Americas
HMD,Heard Island and McDonald Islands,Oceania
VAT,Holy See,Europe
HND,Honduras,Americas
HKG,Hong Kong,Asia
HUN,Hungary,Europe
ISL,Iceland,Europe
IND,India,Asia
IDN,Indonesia,Asia
IRN,Iran (Islamic Republic of),Asia
IRQ,Iraq,Asia
IRL,Ireland,Europe
IMN,Isle of Man,Europe
ISR,Israel,Asia
ITA,Italy,Europe
JAM,Jamaica,Americas
JPN,Japan,Asia
JEY,Jersey,Europe
JOR,Jordan,Asia
KAZ,Kazakhstan,Asia
KEN,Kenya,Africa
KIR,Kiribati,Oceania
PRK,Korea (Democratic People's Republic of),Asia
KOR,"Korea, Republic of",Asia
KWT,Kuwait,Asia
KGZ,Kyrgyzstan,Asia
LAO,Lao People's Democratic Republic,Asia
LVA,Latvia,Europe
LBN,Lebanon,Asia
LSO,Lesotho,Africa
LBR,Liberia,Africa
LBY,Libya,Africa
LIE,Liechtenstein,Europe
LTU,Lithuania,Europe
LUX,Luxembourg,Europe
MAC,Macao,Asia
MDG,Madagascar,Africa
MWI,Malawi,Africa
MYS,Malaysia,Asia
MDV,Maldives,Asia
MLI,Mali,Africa
MLT,Malta,Europe
MHL,Marshall Islands,Oceania
MTQ,Martinique,Americas
MRT,Mauritania,Africa
MUS,Mauritius,Africa
MYT,Mayotte,Africa
MEX,Mexico,Americas
FSM,Micronesia (Federated States of),Oceania
MDA,"Moldova, Republic of",Europe
MCO,Monaco,Europe
MNG,Mongolia,Asia
MNE,Montenegro,Europe
MSR,Montserrat,Americas
MAR,Morocco,Africa
MOZ,Mozambique,Africa
MMR,Myanmar,Asia
NAM,Namibia,Africa
NRU,Nauru,Oceania
NPL,Nepal,Asia
