Date,Amanda_Christensen,Calvin_Klein,Eton,J_Lindeberg,Lacoste,Levi_s,Oscar_Jacobson,Ray_Ban,Tiger_of_Sweden
2014-07-01,5744,29976,78835.1272727272,89833.8461538462,65226.4,63884.8,18971.8133333333,,287420.566400001
2014-08-01,7372.8,33969,98835.0545454545,153530.892307692,43368.6799999999,57153.6,48796.8,,322481.827200001
2014-09-01,8881,28602,70639.9999999999,146138.461538462,26553.1999999999,47048,37864.2666666667,,263211.0544
2014-10-01,10693.215,23257,70230.1818181817,151481.846153846,37045.5999999999,33032,23762,,295135.536000001
2014-11-01,17121.8,29817,96073.7454545454,180756.000000001,35666.8,25476,41173.6,,328531.016000001
2014-12-01,34321.5999999999,43738.5,143256.363636364,144416.615384615,33796.4,25960.8,47829.4666666667,,519894.808000004
2015-01-01,7085.2,28526.5,120765.818181818,182552.492307693,31064.7999999999,55235.2,30837.7333333333,,300741.560000001
2015-02-01,7233.6,27148.4658,82245.6727272726,134998.584492308,29403.62392,30020.8,21506.09584,19107.2,270403.424
2015-03-01,7635.20568,48290.5,81373.939490909,189940.55803077,62399.6842,302.4,66656.1249066667,67636.3999999999,260036.0510032
2015-04-01,8710.55292,30567.9132,80840.2450181817,136470.3984,73999.01736,,52975.7659466667,57623.21312,200100.4619664
2015-05-01,17661.463395,39250.6262,116184.852654545,179055.837661539,86287.31936,,51946.9709226667,63465.0985599999,366531.420364801
2015-06-01,12468.3882,56983.3719999999,87637.3314181817,122439.367323077,81748.43112,,45756.7281333333,71505.0082399999,155359.4085408
2015-07-01,6179.5356,42632.267,135494.885090909,153376.08923077,86328.5216,-1278.4,38679.8824,37648.4016,286216.93552
2015-08-01,13285.15768,40665.5152,154798.000145455,138074.214276923,31696.2424,,59934.38448,10474,268126.856192
2015-09-01,12214.4922,53042.9611,90523.5564363635,233688.107200001,38328.71424,,69268.49096,12643.81312,309395.448304001
2015-10-01,17644.62752,67885.6431999999,121883.678836364,269987.572676924,41898.0416,,62483.8446933333,152.54912,308336.899545601
2015-11-01,25430.7696,59083.904,156435.087709091,276087.005538463,36967.66752,,52682.8791466667,2404.15616,450976.065216001
