Municipality_number,Population,Area
3048,18562,456.69
3049,25749,301.67
3401,17857,1036.45
3403,30598,350.94
3405,27781,478.17
3407,30319,672.25
3411,33842,1280.09
3413,20317,724.28
3420,21086,1229.29
3442,14887,562.57
3443,13179,249.52
3446,13707,756.65
3801,27202,70.96
3802,14037,432.36
3803,44922,110.03
3804,62019,422.26
3805,46557,812.88
3806,36198,164.45
3807,54316,779.2
3808,12757,983.89
3811,26676,99.96
3813,14138,304.37
4202,22692,303.58
4203,44576,270.21
4204,111458,276.88
4205,23025,934.32
4215,10702,190.43
4223,14425,384.47
4601,278556,464.7
4602,17300,870
4613,11806,246.56
4614,18821,143.69
4617,13241,1090.74
4621,14514,1805.81
4624,20152,517.41
4627,28821,101.12
4631,28997,679
5001,190464,342.21
5006,24357,2122.06
5007,13051,2132.63
5028,16213,694.4
5031,13820,168.44
5035,23625,938.28
5037,19892,645.8
5038,14849,1547.78
5059,11891,1906.26
5401,74541,2521.28
5402,24845,445.17
5403,20446,3849.47
5421,14930,1953.81
