Municipality_number,Municipality_name
0301,OSLO
3024,BÆRUM
3025,ASKER
3020,NORDRE FOLLO
3021,ÅS
3022,FROGN
3023,NESODDEN
3029,LØRENSKOG
3030,LILLESTRØM
3031,NITTEDAL
3002,MOSS
3019,VESTBY
3018,VÅLER (VIKEN)
3004,FREDRIKSTAD
3017,RÅDE
3011,HVALER
3003,SARPSBORG
3001,HALDEN
3012,AREMARK
3014,INDRE ØSTFOLD
3015,SKIPTVET
3013,MARKER
3016,RAKKESTAD
3028,ENEBAKK
3034,NES
3026,AURSKOG-HØLAND
3027,RÆLINGEN
3032,GJERDRUM
3036,NANNESTAD
3033,ULLENSAKER
3035,EIDSVOLL
3037,HURDAL
3415,SØR-ODAL
3414,NORD-ODAL
3401,KONGSVINGER
3416,EIDSKOG
3417,GRUE
3418,ÅSNES
3403,HAMAR
3413,STANGE
3411,RINGSAKER
3412,LØTEN
3420,ELVERUM
3421,TRYSIL
3419,VÅLER (INNLANDET)
3425,ENGERDAL
3422,ÅMOT
3423,STOR-ELVDAL
3424,RENDALEN
3427,TYNSET
3426,TOLGA
3430,OS
3428,ALVDAL
3429,FOLLDAL
3405,LILLEHAMMER
3439,RINGEBU
3440,ØYER
3436,NORD-FRON
3438,SØR-FRON
3441,GAUSDAL
3431,DOVRE
3432,LESJA
3437,SEL
3435,VÅGÅ
3434,LOM
3433,SKJÅK
3446,GRAN
3054,LUNNER
3407,GJØVIK
3442,ØSTRE TOTEN
3443,VESTRE TOTEN
3447,SØNDRE LAND
3448,NORDRE LAND
3450,ETNEDAL
3451,NORD-AURDAL
3449,SØR-AURDAL
3453,ØYSTRE SLIDRE
3452,VESTRE SLIDRE
3454,VANG
3005,DRAMMEN
3802,HOLMESTRAND
3803,TØNSBERG
3811,FÆRDER
3804,SANDEFJORD
3801,HORTEN
3805,LARVIK
3048,ØVRE EIKER
3047,MODUM
3045,SIGDAL
3049,LIER
3007,RINGERIKE
3053,JEVNAKER
3038,HOLE
3046,KRØDSHERAD
3039,FLÅ
3040,NESBYEN
3052,NORE OG UVDAL
3041,GOL
3042,HEMSEDAL
3043,ÅL
3044,HOL
3006,KONGSBERG
3050,FLESBERG
3051,ROLLAG
3818,TINN
3819,HJARTDAL
3808,NOTODDEN
3807,SKIEN
3812,SILJAN
3815,DRANGEDAL
3814,KRAGERØ
3817,MIDT-TELEMARK
3820,SELJORD
3816,NOME
3821,KVITESEID
3822,NISSEDAL
3825,VINJE
3823,FYRESDAL
3824,TOKKE
3806,PORSGRUNN
3813,BAMBLE
1103,STAVANGER
1124,SOLA
1127,RANDABERG
1130,STRAND
1108,SANDNES
1133,HJELMELAND
1144,KVITSØY
1134,SULDAL
1135,SAUDA
1149,KARMØY
